category,item,amount,total,project
Zuschüsse,BMBF,507666,2504112,Prototype Fund und Open Education
Zuschüsse,Luminate Foundation,265426,2504112,FragDenStaat und OKF-Corefunding
Zuschüsse,Deutsche Bahn Stiftung,245238,2504112,Jugend hackt
Zuschüsse,Stiftung für Engagement und Ehrenamt,144920,2504112,die ganze OKF
Zuschüsse,Sächsisches Staatsministerium für Kultus,113026,2504112,Jugend hackt
Zuschüsse,Kulturstiftung des Bundes,98472,2504112,Jugend hackt
Zuschüsse,BMWK,98353,2504112,Sovereign Tech Fund
Zuschüsse,European Climate Foundation,72996,2504112,FragDenStaat
Zuschüsse,Schöpflin Stiftung,70000,2504112,FragDenStaat
Zuschüsse,GIZ,43692,2504112,EITI
Zuschüsse,SKala-Initiative / Phineo,42509,2504112,Jugend hackt
Zuschüsse,Medienkompetenz & Innovationsförderung,28388,2504112,FragDenStaat
Zuschüsse,Arnfried und Hannelore Meyer Stiftung,28031,2504112,Jugend hackt
Zuschüsse,Wikimedia Deutschland e. V.,19000,2504112,Forum Open Education
Zuschüsse,Goethe-Institut e.V.,17850,2504112,Jugend hackt
Zuschüsse,Phineo SKala Zukunftsfond,11889,2504112,Jugend hackt
Zuschüsse,Youth Policy Labs gGmbH,11130,2504112,angstfrei
Zuschüsse,Sea-Watch Legal Fund,10520,2504112,FragDenStaat
Zuschüsse,Berliner Sammelfonds,10000,2504112,Jugend hackt
Zuschüsse,Wikimedia Deutschland e. V.,10000,2504112,FragDenStaat
Zuschüsse,Kulturbehörde Hamburg,6537,2504112,Jugend hackt
Zuschüsse,Umweltbundesamt,4814,2504112,FragDenStaat/Datenschule
Zuschüsse,BAfZa Bundeskasse Trier,4800,2504112,FragDenStaat und Jugend hackt
Zuschüsse,Center for the Cultivation of Technology,3000,2504112,die ganze OKF
Zuschüsse,Postcodelotterie,1982,2504112,Code For Germany
Zuschüsse,Medienanstalt Berlin Brandenburg,1920,2504112,Jugend hackt
Zuschüsse,Good Move gGmbH,1500,2504112,FragDenStaat
Zuschüsse,AlgorithmWatch,1150,2504112,die ganze OKF
Zuschüsse,Brot für die Welt,1089,2504112,die ganze OKF